Epoch: 102 | tr_loss: 835.7584 | val_loss: 854.4571 | lr: 3.59e-04
Epoch: 103 | tr_loss: 835.2376 | val_loss: 858.3142 | lr: 3.55e-04
Epoch: 104 | tr_loss: 836.6842 | val_loss: 847.6793 | lr: 3.52e-04
Epoch: 105 | tr_loss: 832.8519 | val_loss: 855.8372 | lr: 3.48e-04
Epoch: 106 | tr_loss: 834.0875 | val_loss: 864.0822 | lr: 3.45e-04
Epoch: 107 | tr_loss: 832.6140 | val_loss: 864.8036 | lr: 3.41e-04
Epoch: 108 | tr_loss: 832.7147 | val_loss: 842.5583 | lr: 3.38e-04
Epoch: 109 | tr_loss: 834.4284 | val_loss: 848.4320 | lr: 3.34e-04
Epoch: 110 | tr_loss: 833.0765 | val_loss: 867.4324 | lr: 3.31e-04
Epoch: 111 | tr_loss: 832.4147 | val_loss: 858.5582 | lr: 3.28e-04
Epoch: 112 | tr_loss: 833.0881 | val_loss: 863.1040 | lr: 3.24e-04
Epoch: 113 | tr_loss: 833.9474 | val_loss: 854.2386 | lr: 3.21e-04
Epoch: 114 | tr_loss: 834.6275 | val_loss: 861.8424 | lr: 3.18e-04
Epoch: 115 | tr_loss: 837.7766 | val_loss: 863.3648 | lr: 3.15e-04
Epoch: 116 | tr_loss: 837.6913 | val_loss: 861.7337 | lr: 3.12e-04
Epoch: 117 | tr_loss: 837.0181 | val_loss: 859.5557 | lr: 3.09e-04
Epoch: 118 | tr_loss: 838.2772 | val_loss: 857.0608 | lr: 3.05e-04
Epoch: 119 | tr_loss: 834.3219 | val_loss: 845.8151 | lr: 3.02e-04
Epoch: 120 | tr_loss: 831.6959 | val_loss: 848.8076 | lr: 2.99e-04
Epoch: 121 | tr_loss: 834.8783 | val_loss: 858.6881 | lr: 2.96e-04
Epoch: 122 | tr_loss: 834.8982 | val_loss: 860.9744 | lr: 2.93e-04
Epoch: 123 | tr_loss: 837.4964 | val_loss: 849.8613 | lr: 2.90e-04
Epoch: 124 | tr_loss: 834.7893 | val_loss: 851.1582 | lr: 2.88e-04
Epoch: 125 | tr_loss: 831.5412 | val_loss: 855.8917 | lr: 2.85e-04
Epoch: 126 | tr_loss: 837.7701 | val_loss: 856.1381 | lr: 2.82e-04
Epoch: 127 | tr_loss: 832.6046 | val_loss: 867.5180 | lr: 2.79e-04
Epoch: 128 | tr_loss: 837.0578 | val_loss: 854.3859 | lr: 2.76e-04
Epoch: 129 | tr_loss: 835.6255 | val_loss: 854.0334 | lr: 2.73e-04
Epoch: 130 | tr_loss: 835.3465 | val_loss: 854.5798 | lr: 2.71e-04
Epoch: 131 | tr_loss: 835.0047 | val_loss: 857.2071 | lr: 2.68e-04
Epoch: 132 | tr_loss: 833.2570 | val_loss: 856.4449 | lr: 2.65e-04
Epoch: 133 | tr_loss: 830.8950 | val_loss: 858.2250 | lr: 2.63e-04
Epoch: 134 | tr_loss: 833.8661 | val_loss: 859.0208 | lr: 2.60e-04
Epoch: 135 | tr_loss: 830.6654 | val_loss: 849.7001 | lr: 2.57e-04
Epoch: 136 | tr_loss: 833.6694 | val_loss: 859.2453 | lr: 2.55e-04
Epoch: 137 | tr_loss: 832.8492 | val_loss: 853.4815 | lr: 2.52e-04
Epoch: 138 | tr_loss: 833.2431 | val_loss: 854.3821 | lr: 2.50e-04
Epoch: 139 | tr_loss: 834.6982 | val_loss: 856.6921 | lr: 2.47e-04
Epoch: 140 | tr_loss: 834.3421 | val_loss: 856.0292 | lr: 2.45e-04
Epoch: 141 | tr_loss: 837.5334 | val_loss: 857.3081 | lr: 2.42e-04
Epoch: 142 | tr_loss: 834.3213 | val_loss: 848.5747 | lr: 2.40e-04
Epoch: 143 | tr_loss: 833.1228 | val_loss: 853.1208 | lr: 2.38e-04
Epoch: 144 | tr_loss: 834.4484 | val_loss: 862.0470 | lr: 2.35e-04
Epoch: 145 | tr_loss: 834.3732 | val_loss: 871.4234 | lr: 2.33e-04
Epoch: 146 | tr_loss: 833.3570 | val_loss: 859.9920 | lr: 2.31e-04
Epoch: 147 | tr_loss: 837.2394 | val_loss: 858.8279 | lr: 2.28e-04
Epoch: 148 | tr_loss: 832.6458 | val_loss: 851.6872 | lr: 2.26e-04
Epoch: 149 | tr_loss: 833.8197 | val_loss: 855.4927 | lr: 2.24e-04
Epoch: 150 | tr_loss: 836.3397 | val_loss: 845.0723 | lr: 2.21e-04
Epoch: 151 | tr_loss: 834.2208 | val_loss: 862.5182 | lr: 2.19e-04
Epoch: 152 | tr_loss: 834.0827 | val_loss: 864.4323 | lr: 2.17e-04
Epoch: 153 | tr_loss: 832.7291 | val_loss: 850.5476 | lr: 2.15e-04
Epoch: 154 | tr_loss: 833.4881 | val_loss: 868.0686 | lr: 2.13e-04
Epoch: 155 | tr_loss: 832.5802 | val_loss: 859.0026 | lr: 2.11e-04
Epoch: 156 | tr_loss: 837.0226 | val_loss: 843.1799 | lr: 2.08e-04
Epoch: 157 | tr_loss: 833.4226 | val_loss: 862.1473 | lr: 2.06e-04
Epoch: 158 | tr_loss: 834.3382 | val_loss: 856.5207 | lr: 2.04e-04
Epoch: 159 | tr_loss: 832.1163 | val_loss: 854.4326 | lr: 2.02e-04
